siren,siret,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsEtablissement,categorieEntreprise,codePostalEtablissement,codeCommuneEtablissement,dateCreationUniteLegale,categorieJuridiqueUniteLegale,etablissementSiege,etatAdministratifUniteLegale,APE_2_code,APE_niv_1,siret_count
348099987,34809998700029,43.12A,N,O,41,2019.0,GE,69800.0,69290,1988-08-01,5710,True,A,43,F,20
348552415,34855241500070,26.12Z,N,O,32,2019.0,ETI,53000.0,53130,1988-10-27,5710,True,A,26,C,10
348607417,34860741700055,62.02A,N,O,52,2019.0,GE,92100.0,92012,1988-10-28,5599,True,A,62,J,111
348899295,34889929500201,42.11Z,N,O,41,,GE,21220.0,21295,1988-12-12,5710,True,A,42,F,32
348937012,34893701200360,33.12Z,N,O,41,2019.0,ETI,77700.0,77449,1988-12-01,5710,True,A,33,C,41
349355529,34935552900034,17.21B,N,O,32,2019.0,ETI,44150.0,44003,1988-12-19,5710,True,A,17,C,5
349505370,34950537000131,21.20Z,N,O,52,2019.0,GE,69007.0,69387,1989-01-24,5599,True,A,21,C,13
349638395,34963839500021,51.10Z,N,O,41,2019.0,ETI,20090.0,2A004,1989-01-16,5615,True,A,51,H,12
349942458,34994245800069,28.11Z,N,O,42,2019.0,GE,90000.0,90010,1989-03-08,5202,True,A,28,C,7
349974931,34997493101213,64.19Z,N,O,42,2019.0,GE,92000.0,92050,1989-03-13,5192,True,A,64,K,158
350693586,35069358600017,29.10Z,N,O,42,2019.0,GE,58600.0,58121,1989-04-01,5710,True,A,29,C,5
350753125,35075312500235,46.66Z,N,O,41,2019.0,ETI,33520.0,33075,1989-04-17,5710,True,A,46,G,73
350992707,35099270700033,64.20Z,N,O,21,2019.0,ETI,31670.0,31254,1989-06-01,5710,True,A,64,K,25
351347232,35134723200057,33.20D,N,O,41,2019.0,ETI,91940.0,91692,1989-06-23,5710,True,A,33,C,6
351442082,35144208206081,56.29B,N,O,32,,ETI,31700.0,31069,1989-09-01,5699,True,A,56,I,630
351466495,35146649500063,10.61A,N,O,42,2019.0,GE,94200.0,94041,1989-07-01,5599,True,A,10,C,40
351571757,35157175700035,70.10Z,N,O,11,2019.0,ETI,69002.0,69382,1989-07-01,5599,True,A,70,M,3
351572888,35157288800557,46.33Z,O,O,41,,GE,75014.0,75114,1989-07-06,6317,True,A,46,G,55
351630371,35163037100018,51.21Z,N,O,51,,ETI,,,1989-08-07,3120,True,A,51,H,5
351745724,35174572400200,47.59A,N,O,52,2019.0,GE,78370.0,78490,1989-08-01,5710,True,A,47,G,47
352014955,35201495500392,10.51A,N,O,42,,GE,75014.0,75114,1989-07-11,5710,True,A,10,C,34
352033914,35203391400040,62.02A,N,O,41,2019.0,ETI,75008.0,75108,1989-09-15,5710,True,A,62,J,4
352050512,35205051200024,30.30Z,N,O,51,2019.0,GE,76700.0,76305,1989-09-25,5710,True,A,30,C,8
352170013,35217001300077,20.16Z,N,O,42,,GE,92000.0,92050,1989-09-15,5710,True,A,20,C,7
352176721,35217672100012,71.12B,N,O,41,,GE,13009.0,13209,1989-10-24,5710,True,A,71,M,21
352256424,35225642401410,77.11B,N,O,51,2019.0,GE,75009.0,75109,1989-11-03,5599,True,A,77,N,164
352268973,35226897300182,71.12B,N,O,42,,GE,78180.0,78423,1989-09-06,5710,True,A,71,M,17
352335962,35233596200044,62.02A,N,O,32,2019.0,ETI,75019.0,75119,1989-09-19,5599,True,A,62,J,53
352383715,35238371500021,30.30Z,N,O,52,2019.0,GE,13700.0,13054,1989-11-15,5710,True,A,30,C,12
352483341,35248334100017,64.19Z,O,O,42,2019.0,GE,21000.0,21231,1989-09-21,5660,True,A,64,K,416
352529499,35252949900019,27.51Z,N,O,41,2019.0,GE,85000.0,85191,1989-10-31,5710,True,A,27,C,2
352600456,35260045600086,17.22Z,,O,32,2019.0,ETI,92000.0,92050,1989-11-30,5710,True,A,17,C,6
352745749,35274574900759,42.13B,N,O,51,,GE,78140.0,78640,1989-12-08,5710,True,A,42,F,104
352774079,35277407900029,33.14Z,N,O,41,2019.0,ETI,91310.0,91425,1989-12-11,5710,True,A,33,C,40
352873236,35287323600322,70.10Z,N,N,00,,GE,69007.0,69387,1989-12-06,5710,True,A,70,M,31
352905707,35290570700266,62.02A,N,O,51,2019.0,GE,92310.0,92072,1989-12-18,5710,True,A,62,J,42
352948434,35294843400019,29.32Z,N,O,41,,ETI,38000.0,38185,1989-12-22,5710,True,A,29,C,7
352973622,35297362200181,18.12Z,N,O,32,2019.0,ETI,75016.0,75116,1989-11-28,5599,True,A,18,C,19
353150261,35315026100330,62.02A,N,O,51,,GE,69100.0,69266,1990-01-04,5710,True,A,62,J,48
353286065,35328606500084,41.20B,N,O,32,2019.0,GE,13015.0,13215,1989-11-20,5710,True,A,41,F,14
353513450,35351345000067,52.10B,N,O,42,2019.0,ETI,45770.0,45302,1990-01-29,5710,True,A,52,H,31
353534506,35353450600053,66.30Z,N,O,41,2019.0,GE,92800.0,92062,1990-02-07,5599,True,A,66,K,5
353543358,35354335800280,10.51C,N,O,12,,GE,44300.0,44109,1990-01-01,5710,True,A,10,C,28
353669419,35366941902813,47.76Z,N,O,42,,GE,50000.0,50502,1990-02-15,5710,True,A,47,G,282
353821028,35382102805018,64.19Z,N,O,51,,GE,33000.0,33063,1908-10-19,5660,True,A,64,K,513
353888845,35388884500123,81.21Z,N,O,41,2019.0,ETI,59155.0,59220,1990-01-01,5710,True,A,81,N,13
353944093,35394409300122,82.20Z,N,O,51,2019.0,GE,92200.0,92051,1990-01-17,5710,True,A,82,N,19
355502295,35550229500015,43.34Z,N,O,41,2019.0,ETI,76600.0,76351,1955-01-01,5710,True,A,43,F,31
356000000,35600000000048,53.10Z,N,O,53,2019.0,GE,75015.0,75115,1991-01-01,5510,True,A,53,H,12713
356801571,35680157100015,64.19Z,O,O,51,2019.0,GE,57000.0,57463,1956-01-01,5192,True,A,64,K,314
357200054,35720005400017,10.62Z,N,O,51,2019.0,GE,62136.0,62502,1957-01-01,5599,True,A,10,C,12
357801109,35780110900020,27.11Z,N,O,32,2019.0,GE,57280.0,57433,1957-01-01,5710,True,A,27,C,5
358802296,35880229600014,25.72Z,N,O,41,2019.0,ETI,57445.0,57566,1934-01-01,5710,True,A,25,C,3
361200389,36120038900621,22.11Z,N,N,41,,ETI,94150.0,94065,1961-01-01,5710,True,A,22,C,29
367801404,36780140400040,49.41B,N,O,51,2019.0,ETI,57370.0,57540,1967-01-01,5710,True,A,49,H,58
