siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
302208301,00291,30220830100291,O,1994-11-01,NN,,,2020-09-09T15:50:06,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,10,,AV,DES SPORTS,44360,SAINT-ETIENNE-DE-MONTLUC,,,44158,,,,,,,,,,,,,,,,,,,F,,,,,46.34Z,NAFRev2,N
302208301,00309,30220830100309,O,2000-11-13,02,2019,,2021-10-27T08:14:17,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,IMMEUBLE COEUR PRESQU'ILE,41,,RUE,PRESIDENT EDOUARD HERRIOT,69002,LYON 2EME,,,69382,,,,,,,,,,,,,,,,,,,F,,,,,46.34Z,NAFRev2,O
302208301,00317,30220830100317,O,2001-03-01,NN,,,2019-11-14T14:00:53,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,45 A 49,,,RUE,VAUCANSON,69150,DECINES-CHARPIEU,,,69275,,,,,,,,,,,,,,,,,,,F,,,,,63.1D,NAFRev1,O
302208301,00325,30220830100325,O,2003-07-01,00,2018,,2020-08-25T10:22:13,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,3 ET 5,3,,RUE,BEAUVAU,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,F,,,,,46.34Z,NAFRev2,O
302208301,00333,30220830100333,O,2006-10-23,,,,2020-09-09T15:50:06,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,SA DES ETABLISSEMENTS GABRIEL BOUDIER,14,,RUE,DE CLUJ,21000,DIJON,,,21231,21007,DIJON CEDEX,,,,,,,,,,,,,,,,,F,,,,,11.01Z,NAFRev2,N
302208301,00341,30220830100341,O,2012-12-04,12,2019,,2021-10-27T08:14:17,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,21,,,RUE DU PORT,33240,CUBZAC-LES-PONTS,,,33143,,,,,,,,,,,,,,,,,,,F,,,,,52.10B,NAFRev2,O
302208301,00358,30220830100358,O,2012-12-04,21,2019,,2021-10-27T08:14:17,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,6,,BD,VIOLET,66300,THUIR,,,66210,,,,,,,,,,,,,,,,,,,F,,,,,11.04Z,NAFRev2,O
302208301,00366,30220830100366,O,2015-05-19,32,2019,,2021-10-27T08:14:17,true,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,51,,CHE,DES MECHES,94000,CRETEIL,,,94028,,,,,,,,,,,,,,,,,,,F,,,,LES NOUVEAUX VIGNERONS,46.34Z,NAFRev2,O
305376857,00028,30537685700028,O,1900-01-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AERODROME BEZIERS,34450,VIAS,,,34332,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00036,30537685700036,O,1982-01-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT D ENTZHEIM,67960,ENTZHEIM,,,67124,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
