NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
5464.0,178.9,3789.0,128.9,1199.6,88.4,273.40000000000003,32.3,79.2,18.299999999999997,78.5,2013,A 
1723.0,754.5,10926.0,419.0,4088.2,505.79999999999995,1394.9,5168.2,6349.5,5099.1,489.3,2013,B 
230177.0,67768.6,1378906.0,72573.7,324993.2,17105.0,89851.2,7135.599999999999,13080.0,10480.099999999999,10852.0,2013,C 
20746.0,526.0,7447.0,1193.0,15565.5,2877.7999999999997,3612.1,-32.6,1782.8000000000002,347.20000000000005,4469.7,2013,D 
13952.0,3272.1,67216.0,2008.2,19142.4,1739.1999999999998,5410.0,686.9000000000001,1449.7,738.8,2658.7,2013,E 
560432.0,54009.4,1042139.0,2146.9,214677.7,13447.1,69697.1,9166.8,12911.2,10909.8,5451.3,2013,F 
776444.0,83557.2,1688153.0,96642.2,880707.4,25775.199999999997,120218.6,15146.3,21001.9,20356.7,10273.7,2013,G 
103325.0,19881.699999999997,421310.0,10073.599999999999,76546.0,4610.1,25175.0,1513.3,3684.8999999999996,1955.7,6677.700000000001,2013,H 
262544.0,22952.1,594738.0,621.8,68196.20000000001,3874.2,28228.5,3473.5,233.9,938.5,766.2,2013,I 
146294.0,21486.2,286972.0,9312.4,69086.9,7113.5,29186.3,1789.4,6880.8,2707.7000000000003,2482.5,2013,J 
125938.0,15449.099999999999,151585.0,3962.4,44480.6,3129.1000000000004,20018.9,39157.1,57956.5,43351.7,3398.3,2013,K 
223558.0,8715.8,148421.0,672.0,60582.3,19723.8,32334.2,9183.2,16025.8,7065.299999999999,26334.0,2013,L 
486287.0,51661.1,674518.0,15882.5,142115.3,15399.3,68321.7,23335.5,32485.0,26146.199999999997,5279.200000000001,2013,M 
211336.0,28649.800000000003,481074.0,10334.5,90052.79999999999,11042.6,40835.5,4713.8,7807.4,5606.6,12381.5,2013,N 
144242.0,5232.3,87547.0,666.8,13217.5,1164.8,6383.7,721.9,946.2,817.3000000000001,289.3,2013,P 
427839.0,23971.6,342151.0,145.6,73493.1,25905.100000000002,52301.0,23856.800000000003,25244.899999999998,24395.1,1334.8,2013,Q 
214759.0,4880.700000000001,79536.0,405.7,14791.9,1579.3000000000002,6373.5,760.4,1386.6,674.4000000000001,1514.6,2013,R 
253631.0,7191.4,187060.0,384.8,19152.3,1830.7,9266.1,1129.2,80.4,1171.6,229.9,2013,S 
5469.0,196.6,4020.0,146.3,1331.5,87.4,293.7,38.5,89.365,25.8,91.82875,2014,A 
1878.0,952.1,11560.0,550.6,4877.1,449.5,1562.6,3836.6,4281.8,4081.3,527.2,2014,B 
233736.0,67841.0,1365394.0,73748.0,324532.1,18047.9,90769.6,7266.1,13973.0,10960.7,11354.8,2014,C 
24862.0,560.0999999999999,7720.0,1348.9,16483.3,3098.9,3903.8,610.7,1967.6000000000001,752.7,5179.8,2014,D 
12773.0,3266.7999999999997,66860.0,1741.3000000000002,19090.0,1797.8,5447.5,740.0,1519.5,786.8,2583.4,2014,E 
