annee,NbEntrp,Activite,SecteurDActivite,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports
2011,75675.0,"Arts, spectacles et activités récréatives ",R ,5550.3,98780.0,459.1,28896.4,2138.2,8326.7,1545.7,1988.8,1487.0,1248.4
2011,195657.0,Autres activités de services ,S ,9298.2,233927.0,533.2,25313.3,2322.5,11829.9,1233.2,2289.0,1266.1,1232.0
2012,5706.0,Exploitation forestière ,A ,283.3,5675.0,197.0,1687.3,122.3,416.2,55.6,116.1,33.2,126.3
2012,1718.0,Industries extractives ,B ,1279.1,21929.0,609.9,7689.0,1037.2,2525.4,7448.2,8287.9,8224.3,987.6
2012,217865.0,Industrie manufacturière ,C ,151326.1,2679830.0,312657.9,895230.4,42111.3,213885.4,17848.8,36815.3,27656.2,29969.4
2012,18554.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,13241.5,164924.0,21715.9,119308.1,15580.4,28132.0,6452.0,16573.8,7376.4,21497.4
2012,13497.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7393.4,143912.0,3726.3,38211.8,3319.9,11789.0,1938.5,3220.4,1710.4,4948.2
2012,512864.0,Construction ,F ,71340.2,1358963.0,4554.7,282147.1,15120.1,89790.1,11699.9,15921.5,13350.2,7475.3
2012,710116.0,Commerce - réparation d'automobiles et de motocycles ,G ,129624.7,2653623.0,137894.9,1410516.4,41220.6,199757.7,25193.9,35483.4,36394.0,17656.0
2012,98574.0,Transports et entreposage ,H ,60612.4,1195299.0,45358.3,204000.4,19119.7,83647.5,5289.1,12966.4,6893.2,21150.0
2012,252627.0,Hébergement et restauration ,I ,29190.3,767705.0,1787.0,86606.5,5061.3,36365.9,2293.4,4585.3,2266.9,6315.2
2012,125611.0,Information et communication ,J ,50232.1,667982.0,18190.3,181288.8,26953.8,80700.1,6075.5,25452.6,11187.5,9015.7
2012,85304.0,Activités auxiliaires de services financiers et d'assurance ,K ,11923.6,132241.0,5048.3,38545.1,4734.0,17888.0,9329.0,32174.7,10525.8,2584.4
2012,228741.0,Activités immobilières ,L ,11513.1,202911.0,768.6,80995.0,26077.4,43570.7,15143.9,21705.7,11669.2,37357.8
2012,471053.0,"Activités spécialisées, scientifiques et techniques ",M ,79373.2,1000311.0,41574.1,224523.5,16137.1,98270.6,76458.8,102714.4,69665.4,7236.4
2012,191889.0,Activités de services administratifs et de soutien ,N ,56144.1,873742.0,12438.7,141322.6,15026.5,73778.8,7007.7,16524.1,6426.4,18061.0
2012,112433.0,Enseignement ,P ,4937.6,89340.0,632.1,12478.2,1113.5,6162.6,1976.3,20166.928418367344,2086.2,11137.411734693878
2012,400639.0,Santé humaine et action sociale ,Q ,27684.4,474151.0,202.2,77381.2,23037.5,54300.9,22316.9,22176.3,22975.2,1906.1
2012,200748.0,"Arts, spectacles et activités récréatives ",R ,6153.8,100632.0,501.9,32139.6,2801.2,9930.2,1899.6,2501.1,1856.9,1874.9
2012,224020.0,Autres activités de services ,S ,8752.5,220575.0,484.1,24302.1,2269.1,11339.9,1328.3,20166.928418367344,1462.7,11137.411734693878
2013,5543.0,Exploitation forestière ,A ,238.1,5095.0,198.5,1578.6,109.8,356.2,46.7,103.3,30.5,106.8
2013,1734.0,Industries extractives ,B ,1232.6,18942.0,704.2,6858.5,743.3,2173.8,5223.3,6571.2,5053.5,702.7
2013,231534.0,Industrie manufacturière ,C ,155114.4,2698238.0,313086.1,870229.8,42547.5,213011.8,19660.6,39283.1,32287.8,28761.5
2013,20769.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,13766.3,168924.0,20990.4,119531.7,17428.3,30456.6,5631.4,16700.6,7419.9,16918.2
2013,14037.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7766.0,144295.0,3185.8,37535.6,3149.2,11896.6,1381.3,4309.0,1656.6,4394.5
2013,560658.0,Construction ,F ,76276.5,1407095.0,6371.9,294514.1,15012.3,94877.9,11030.6,14550.4,13189.2,8095.8
2013,777282.0,Commerce - réparation d'automobiles et de motocycles ,G ,129204.9,2638971.0,143845.9,1401058.5,39664.4,204058.2,29676.4,40537.4,38362.7,16867.9
2013,103641.0,Transports et entreposage ,H ,55668.5,1107915.0,44369.1,197947.7,20196.8,79376.0,3036.5,14830.4,7867.7,21662.0
2013,262643.0,Hébergement et restauration ,I ,29298.3,761825.0,1275.7,89337.7,7046.5,38198.4,3020.7,6189.4,2763.0,6427.7
2013,146597.0,Information et communication ,J ,52638.3,694196.0,23894.6,174255.9,24346.4,80617.6,5301.3,22018.5,10622.7,8737.6
2013,126000.0,Activités auxiliaires de services financiers et d'assurance ,K ,18633.4,192478.0,5986.4,55631.4,3804.3,24270.6,40011.7,58958.3,44606.3,3513.6
2013,224778.0,Activités immobilières ,L ,11287.7,197886.0,683.3,76164.3,25433.0,42313.2,11308.7,20161.4,8088.5,35644.6
2013,486651.0,"Activités spécialisées, scientifiques et techniques ",M ,69967.0,913576.0,26650.0,182210.7,16656.9,88904.8,28909.1,40160.7,30810.5,6503.9
2013,211733.0,Activités de services administratifs et de soutien ,N ,55111.1,880687.0,12256.0,136058.3,14538.2,72278.4,7354.0,15332.9,8612.8,16433.8
2013,144255.0,Enseignement ,P ,5485.1,94262.0,670.5,13709.4,1172.6,6625.1,699.2,1016.8,798.7,474.3
2013,428045.0,Santé humaine et action sociale ,Q ,28491.1,462411.0,174.5,82481.1,26090.4,57371.8,24051.0,25294.8,24793.2,1673.8
2013,214784.0,"Arts, spectacles et activités récréatives ",R ,6298.5,103459.0,651.4,32348.6,2985.2,10361.4,1773.3,2646.1,1834.9,1751.1
2013,253673.0,Autres activités de services ,S ,8548.9,215068.0,486.3,23288.3,2219.6,11098.1,1225.9,1957.6,1347.9,1126.5
2014,5543.0,Exploitation forestière ,A ,257.1,5311.0,218.7,1743.4,104.8,373.5,51.7,99.1,37.8,161.6
2014,1888.0,Industries extractives ,B ,1255.3,19153.0,727.6,6681.6,578.7,2040.3,3843.0,4366.7,4116.6,507.6
2014,235092.0,Industrie manufacturière ,C ,154863.7,2659467.0,318455.3,868884.0,46156.3,216478.4,28774.6,41112.2,37641.9,28541.8
2014,24883.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,13907.2,172271.0,18712.8,112204.8,16394.4,28812.9,3840.3,15771.1,3950.4,17627.6
2014,12855.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7747.5,147533.0,2919.7,37208.9,2943.6,11561.0,1227.2,2969.2,1085.2,4352.1
2014,575733.0,Construction ,F ,74803.6,1366615.0,7173.0,288852.7,13862.2,92206.1,9894.2,13442.3,13004.2,7742.9
2014,802304.0,Commerce - réparation d'automobiles et de motocycles ,G ,130572.6,2648612.0,144223.3,1392201.1,37823.8,203930.2,26346.3,40297.7,36318.0,17550.5
2014,106036.0,Transports et entreposage ,H ,56012.2,1110791.0,45793.0,202383.9,20614.1,80181.4,8128.9,14815.6,8214.7,21483.1
2014,272994.0,Hébergement et restauration ,I ,29587.6,777329.0,1366.4,90200.0,6670.0,38107.9,2876.2,5776.7,2178.0,6554.3
2014,152448.0,Information et communication ,J ,53837.4,698292.0,25728.0,176339.7,23894.8,81288.3,1642.0,20843.7,8633.2,8821.5
2014,133371.0,Activités auxiliaires de services financiers et d'assurance ,K ,19582.7,197279.0,6671.9,57890.7,4173.2,25659.7,60488.1,67509.4,57875.0,4355.2
2014,210735.0,Activités immobilières ,L ,11347.7,198001.0,646.3,74574.8,24020.9,41027.5,12500.7,20040.0,7482.0,36578.6
