annee,CO2,CO2e,CH4,N2O,HFC,PFC,SF6,NF3,Gaz_fluores,secteur,total_ges
2009,66.40200732626887,64.11968429751462,1512.2449744525863,421.304619867971,9.870437971423247,0.0,338.90299646227714,0.0,348.7734344337004,energie,133.15278808697147
2010,66.51174976312262,64.14452930450135,1583.4250149250458,486.05954676306203,9.602916180112066,0.0,288.1329807530535,0.0,297.7358969331656,energie,133.32123542317842
2011,57.65131862230247,55.55211631450954,1500.9212947068688,346.8733819799311,10.716950288900653,0.0,240.6906808172107,0.0,251.40763110611135,energie,115.55404487571104
2012,58.41001094165279,56.31723887515853,1466.2567578181386,379.7024342873857,10.215958448839617,0.0,236.5969159399039,0.0,246.81287438874352,energie,117.06683475769434
2013,57.900698045493485,55.7079324833633,1413.0729932249449,551.3161716698988,9.773802715023965,0.0,218.60259452030905,0.0,228.37639723533303,energie,116.0297724882223
2014,44.68218775018255,42.95551051011653,1260.2223787599692,270.68327028640516,8.308508076320802,0.0,187.4630829433264,0.0,195.77159101964722,energie,89.56014709138476
2015,46.739198557050955,45.00665283479342,1246.5688303202471,275.2377218660646,7.2688733015335405,0.0,203.47029676969296,0.0,210.7391700712265,energie,93.68913628417314
2016,50.017881604436944,48.21560549102877,1279.356240847657,310.59249447233697,6.721954878731566,0.0,205.60542320945376,0.0,212.32737808818533,energie,100.24809058696206
2017,53.63488353662926,51.921919348703945,1189.577301309709,339.3390582842837,6.085709958700684,0.0,177.96211837262263,0.0,184.0478283313233,energie,107.45381490158985
2018,44.97976071303427,43.38381052347572,1129.9456876398278,271.5451470345955,4.698372261810366,0.0,189.7609826223158,0.0,194.45935488412616,energie,90.15398078095266
2019,42.479555202461384,40.964289835955256,1057.515398677093,282.6894053428474,3.711063064964971,0.0,171.34949942122927,0.0,175.06056248619424,energie,85.13417096740896
2020,38.35697762256507,37.06766160659272,969.8847195996958,144.86138572037498,3.2204112310526547,0.0,171.34949942122927,0.0,174.56991065228192,energie,76.88852515578243
1990,150.46309790830304,104.0246101194244,398.3582427967903,23974.315279641483,4402.199943286288,15607.39975153239,1506.3167078417937,16.480883198489916,21532.397285858962,indus_manu,321.9251761218836
1991,162.0822654837437,115.76043110695834,420.1956281090667,24187.259399066188,5124.376817614917,14467.630414395993,1565.4044690205492,18.128971518338908,21175.5406725498,indus_manu,344.8012329629769
1992,150.19598751159964,103.8685473154193,399.16223744505106,24585.56007621821,4417.474794876114,14754.947939234422,1600.5260759090484,19.9418686701728,20792.890678689764,indus_manu,320.6350384980617
1993,145.0187575269976,100.41074097821274,384.16371123959954,24589.84910916206,2894.3462046095096,14532.190158105866,1636.2584530782663,21.936055537190082,19084.730871330838,indus_manu,308.57297306827365
1994,145.5925236802844,103.14815230403612,406.5725069315697,25247.08624034053,1719.6729455532295,12976.456371188322,1685.1656275562743,24.129661090909092,16405.424605388733,indus_manu,307.20518394237007
1995,143.21679691757708,104.29506410539842,404.9142470956322,26076.534684661445,1065.811107596838,9193.681027689734,1704.2403810612711,6.259923881157576,11969.992440229,indus_manu,297.93329483519057
1996,144.93276606541679,105.82436625967011,397.3521045363834,26559.916519897106,1510.7547971502606,8388.749483702177,1752.6040638356387,11.460804045006453,11663.569148733084,indus_manu,301.04153924698653
1997,144.3444810095113,105.34492533431523,420.15185699867686,25975.93201062163,1727.953903271952,8687.92213563279,1754.5467154444952,17.17689466592443,12187.599649015163,indus_manu,300.46068950947716
1998,137.02360783661365,103.32552668375783,411.98222890569417,18753.714301870157,1607.3023603101565,10175.144899017527,1912.0741993811646,21.155172237204575,13715.676630946053,indus_manu,286.94618431303945
1999,134.92519021608908,103.83837376518464,410.1310317875103,13514.729840066711,2103.0098761753598,12655.204484706814,1661.559512937591,28.40959249382716,16448.18346631359,indus_manu,285.5847917857551
2000,129.93151698710014,104.0860789946752,412.3518630791714,12039.832182577506,2176.771715607199,8981.4406926891,1599.6386834791724,19.891693827160495,12777.74278560263,indus_manu,272.0252655986373
2001,132.33190194467485,107.28682184522883,408.80101819208994,12040.309446986788,2542.649617974712,7939.103516902107,1276.1402700567896,28.445694444444445,11786.339099378054,indus_manu,275.6405124538387
2002,130.13298284949596,102.47771681080486,407.95963745940116,9709.767343556858,2798.904266800161,12517.314657057055,1060.898089168778,35.54482018250135,16412.661833208498,indus_manu,275.5537503077341
2003,127.8864669270417,101.25981452032269,397.1104651632375,9566.930177716558,2929.3639674113488,11549.330004431398,1054.0895056736372,30.466988727858293,15563.250466244242,indus_manu,270.23682302273266
2004,120.04403675080077,99.43650530970204,447.96153055592123,6805.204286232026,3189.0021376476775,7902.561056915822,1193.7549734471822,35.54482018250135,12320.862988193181,indus_manu,251.37543385367712
2005,119.01277166553321,101.06582099995484,406.58029602122195,6884.392918244168,3432.1846118706635,5273.450371750321,948.0972547102505,31.2696,9685.001838331236,indus_manu,246.7395695564159
2006,117.55148118616034,101.15251901814139,346.0974468936325,6141.2836757047435,3679.785003324721,4383.33428208482,851.8030576655768,29.756,8944.678343075117,indus_manu,243.08073801305034
2007,116.07855484120464,101.21488205799699,403.0547646140201,5738.596114850904,3562.8856263496027,3533.3059988042987,756.5269828050928,42.1056,7894.8242079589945,indus_manu,239.22473619458455
2008,107.90581669223363,95.26024534997022,356.2845018822706,4743.477209939423,3677.3790807601313,2330.4995989910835,751.2958518166915,46.354,6805.528531567906,indus_manu,221.87688081716138
2009,89.81911795466515,79.00019918321938,295.4351063622149,4013.2599610938128,3622.7084229005172,1665.2754609975295,575.9057096541559,24.957199999999997,5888.846793552201,indus_manu,184.90570579244496
2010,95.90524234508483,86.44306871032902,354.2792935452257,2399.138955844904,3714.523590029178,1830.6831906746527,549.9699910587109,32.1296,6127.306371762542,indus_manu,197.35634204832905
2011,92.6515715633388,83.19394641441252,318.19068738974715,1472.5389237824377,4099.065361657415,2282.228805643278,373.11348868112685,31.355599999999995,6785.763255981819,indus_manu,191.20777410088718
