id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1
6993.0,demathieu bard construction,1192.0,2020.0,3645.7613,337.14,0.0,Oui,6993.0,790843411,799.7493
4299.0,gefco france sas,2370.0,2018.0,15414.3,640.7,0.0,Oui,4299.0,789791464,-13947.7
5977.0,aspark consulting,5.0,2020.0,1.1,0.2,16.02,Oui,5977.0,789551892,
1420.0,newrest wagons-lits,1500.0,2014.0,29.8,19.1,4.8,Oui,1420.0,789485869,
6983.0,markem-imaje industries,533.0,2020.0,362.8,123.7,0.0,Oui,6983.0,789216702,-134.89999999999998
3496.0,colruyt retail france,1600.0,2018.0,13455.0,2604.0,0.0,Oui,3496.0,789139789,1304.0
5467.0,urssaf aquitaine,777.0,2019.0,564.6469999999999,121.561,2593.857,Oui,5467.0,788778777,-869152.353
4025.0,urssaf ile-de-france,2600.0,2018.0,214.519,661.9340000000001,0.0,Oui,4025.0,788617793,
6830.0,seris security,5750.0,2019.0,1854.0,23.0,0.0,Oui,6830.0,788213825,
5472.0,chauffage rationnel et applications modernes (cram) s.a.s.,550.0,2019.0,1529.0,23.0,404.0,Oui,5472.0,788212660,
3278.0,cdc habitat - adoma,2855.0,2017.0,68290.0,14690.0,0.0,Oui,3278.0,788058030,
1375.0,cora sas,18784.0,2015.0,457333.0,8841.0,381482.0,Oui,1375.0,786920306,
3752.0,trois moulins habitat,280.0,2018.0,10124.0,2664.0,2235.0,Oui,3752.0,786150391,
4513.0,caisse d'allocations familiales de loire-atlantique,637.0,2018.0,233.858,115.618,1701.49,Oui,4513.0,786019554,
4953.0,sa la fonte ardennaise,777.0,2018.0,28280.0062,3815.0,2733.0,Oui,4953.0,785820507,
3634.0,supermarche match,5200.0,2018.0,45537.0,3302.0,0.0,Oui,3634.0,785480351,
4690.0,caf de seine-et-marne,547.0,2018.0,95.94999999999999,100.44,1754.68,Oui,4690.0,784971343,-99.05000000000001
4639.0,cpam 77,1009.0,2018.0,411.09,220.386,2678.185,Oui,4639.0,784971301,
6024.0,picard surgeles,4767.0,2019.0,22325.0,3699.0,0.0,Oui,6024.0,784939688,
5104.0,credit agricole.sa,1900.0,2019.0,539.0,407.0,47008.0,Oui,5104.0,784608416,
4289.0,casden banque populaire,582.0,2018.0,44.0,219.0,4803.0,Oui,4289.0,784275778,-30.0
5848.0,institut curie,2200.0,2019.0,503.0,1457.0,0.0,Oui,5848.0,784257164,
6881.0,mutualite francaise aisne nord pas de calais,815.0,2019.0,463.0,78.0,0.0,Oui,6881.0,783712045,
4566.0,institut de cancerologie de lorraine,700.0,2018.0,73.97,793.47,0.0,Oui,4566.0,783336068,
4703.0,caf du var,503.0,2019.0,198.405,80.449,1558.111,Oui,4703.0,783169196,
3352.0,institut paoli-calmettes,1300.0,2017.0,701.2400000000001,657.44,408.71,Oui,3352.0,782921233,
4406.0,cpam des bouches-du-rhone,1975.0,2018.0,193.78935398,466.9339574,0.0,Oui,4406.0,782885735,
5717.0,caf 06,532.0,2019.0,199.0,74.0,1486.0,Oui,5717.0,782620520,
5804.0,maison de sante protestante de bordeaux bagatelle,1200.0,2019.0,1175.934,162.9,0.0,Oui,5804.0,782021307,-565.7160000000001
6193.0,caisse d'allocations familiales de la gironde,819.0,2019.0,147.0,65.0,77.0,Oui,6193.0,781847488,-140.0
4111.0,caisse d'assurance retraite et de sante au travail aquitaine,877.0,2018.0,480.911,172.155,3171.999,Oui,4111.0,781847447,187.911
4652.0,cpam de la gironde,1227.0,2018.0,612.944,162.55,3722.902,Oui,4652.0,781847421,-104.42700000000002
2388.0,institut bergonie,900.0,2016.0,1031.61,335.25,0.0,Oui,2388.0,781831714,
3936.0,macif,9558.0,2018.0,8124.0,1526.0,3454.0,Oui,3936.0,781452511,170.0
4600.0,cheminees poujoulat sa,700.0,2019.0,1371.0,393.0,31395.0,Oui,4600.0,781446521,-292.0
31.0,maaf assurances sa,3299.0,2012.0,360.0,1306.0,5355.0,Oui,31.0,781423280,
5476.0,centre henri becquerel,845.0,2019.0,763.923327,157.069854,210.9789304,Oui,5476.0,781112891,
4606.0,caisse primaire d'assurance maladie de la marne,592.0,2018.0,256.408,103.497,1763.081,Oui,4606.0,780428942,
4555.0,renault sas,32200.0,2018.0,211221.0,24213.0,0.0,Oui,4555.0,780129987,43711.0
5598.0,centre anticancereux leon berard,1883.0,2019.0,295.67,1952.143,0.0,Oui,5598.0,779924133,
4771.0,groupama rhones alpes auvergne,2160.0,2018.0,2388.0,372.0,4128.0,Oui,4771.0,779838366,
